
-------------------------------G4_Ar
-------------------------------pi+
### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  392       841.4      0.2983      0.5994       0.8977
  393         861      0.2993      0.5998       0.8991
  394         881      0.3003      0.6002       0.9005
  395       901.6      0.3013      0.6007        0.902
  396       922.6      0.3019      0.6019       0.9039
  397       944.1      0.3026      0.6032       0.9058
  398       966.1      0.3032      0.6045       0.9078
  399       988.6      0.3039      0.6059       0.9098
  400        1012      0.3042      0.6059       0.9101
  401        1035      0.3042      0.6045       0.9088
  402        1059      0.3042      0.6031       0.9074
  403        1084      0.3042      0.6017       0.9059
  404        1109      0.3042      0.6003       0.9045
  405        1135      0.3042      0.5988        0.903
  406        1161      0.3042      0.5972       0.9014
  407        1189      0.3042      0.5957       0.8999
  408        1216      0.3042      0.5941       0.8982
  409        1245      0.3042      0.5924       0.8966
  410        1274      0.3042      0.5907       0.8949
  411        1303      0.3042       0.589       0.8932
  412        1334      0.3042      0.5873       0.8914
  413        1365      0.3042      0.5855       0.8896
  414        1396      0.3042      0.5836       0.8878
  415        1429      0.3042      0.5817       0.8859
  416        1462      0.3042      0.5798        0.884
  417        1496      0.3042      0.5778        0.882
  418        1531      0.3042      0.5758         0.88
  419        1567      0.3042      0.5737       0.8779
  420        1603      0.3042      0.5716       0.8758
  421        1641      0.3042      0.5695       0.8736
  422        1679      0.3042      0.5673       0.8714
  423        1718      0.3041       0.565       0.8691
  424        1758      0.3041      0.5627       0.8668
  425        1799      0.3041      0.5603       0.8644
  426        1841      0.3041      0.5579        0.862
  427        1884      0.3041      0.5554       0.8595
  428        1928      0.3041      0.5528        0.857
  429        1972      0.3041      0.5502       0.8544
  430        2018      0.3035      0.5482       0.8517
  431        2065      0.3018       0.547       0.8489
  432        2113      0.3002      0.5458        0.846
  433        2163      0.2984      0.5446        0.843
  434        2213      0.2967      0.5433         0.84
  435        2265      0.2949      0.5421       0.8369
  436        2317       0.293      0.5407       0.8338
  437        2371      0.2911      0.5394       0.8305
  438        2427      0.2892       0.538       0.8272
  439        2483      0.2872      0.5366       0.8239
  440        2541      0.2852      0.5352       0.8204
  441        2600      0.2832      0.5337       0.8168
  442        2661       0.281      0.5322       0.8132
  443        2723      0.2789      0.5306       0.8095
  444        2786      0.2767      0.5291       0.8057
  445        2851      0.2744      0.5274       0.8018
